"","Month","Europe","Exclud southern","Germanic","Direct neighbours","Non-EUR","High Gdp","EU","Eurozone","Switzerland"
"1",1,100.254203796387,100.118347167969,100.016212463379,100.234436035156,100.531700134277,100.107940673828,100.60228729248,100.648529052734,100.019943237305
"2",2,100.545043945312,100.524955749512,100.469268798828,100.51343536377,100.707611083984,100.949188232422,100.869606018066,100.942626953125,100.019943237305
"3",3,101.06916809082,100.87629699707,101.038299560547,101.488357543945,100.828956604004,101.3115234375,101.436363220215,101.735427856445,100.518547058105
"4",4,101.402206420898,101.194854736328,101.002365112305,101.590347290039,101.035919189453,101.500694274902,101.741668701172,102.106872558594,100.717987060547
"5",5,101.481536865234,101.308258056641,100.94612121582,101.544311523438,101.029937744141,101.411666870117,101.810874938965,102.217514038086,100.817710876465
"6",6,101.622177124023,101.456535339355,101.144920349121,101.656555175781,101.035339355469,101.566772460938,101.958251953125,102.432815551758,100.618270874023
"7",7,101.352699279785,101.324150085449,100.911766052246,100.908012390137,101.051795959473,101.379005432129,101.571891784668,101.829208374023,100.717987060547
"8",8,101.328414916992,101.346992492676,100.972885131836,101.034637451172,100.970550537109,101.570335388184,101.583969116211,101.871734619141,100.418830871582
"9",9,101.454162597656,101.304382324219,101.429832458496,101.628578186035,100.878982543945,101.551635742188,101.730651855469,102.156936645508,100.917434692383
"10",10,101.447547912598,101.316123962402,101.231033325195,101.613311767578,100.929908752441,101.485252380371,101.649963378906,102.022857666016,100.817710876465
"11",11,101.063972473145,100.93009185791,101.302116394043,101.55477142334,100.611976623535,101.206649780273,101.233444213867,101.550796508789,100.518547058105
"12",12,100.821586608887,100.684257507324,101.373397827148,101.608139038086,100.436553955078,101.10871887207,100.940246582031,101.204925537109,100.618270874023
"13",13,100,100,100,100,100,100,100,100,100
"14",14,100.441902160645,100.525161743164,100.595802307129,100.531295776367,100.32315826416,100.95768737793,100.46223449707,100.523681640625,99.6410064697266
"15",15,101.229789733887,101.157592773438,101.663383483887,101.790771484375,100.725250244141,101.65015411377,101.266487121582,101.534294128418,100.10969543457
"16",16,101.667083740234,101.612800598145,101.984222412109,102.086158752441,101.041870117188,101.929634094238,101.701881408691,102.058883666992,99.840446472168
"17",17,102.048416137695,102.023696899414,102.2744140625,102.348129272461,101.380035400391,102.255737304688,102.103698730469,102.486709594727,99.9202270507812
"18",18,102.091087341309,102.032775878906,102.198059082031,102.317726135254,101.090530395508,102.334274291992,102.0927734375,102.591957092285,100.039886474609
"19",19,101.675186157227,101.738670349121,102.142997741699,101.681396484375,100.981460571289,102.165008544922,101.623245239258,101.932998657227,99.8504180908203
"20",20,101.66626739502,101.77946472168,102.010795593262,101.655456542969,100.788200378418,102.310531616211,101.579383850098,101.944519042969,99.3119277954102
"21",21,101.645286560059,101.601226806641,102.12190246582,102.050964355469,100.625778198242,102.18383026123,101.556579589844,102.018394470215,99.6509780883789
"22",22,101.71166229248,101.664283752441,102.172668457031,102.198654174805,100.653518676758,102.198150634766,101.578712463379,102.055839538574,99.7008361816406
"23",23,101.416725158691,101.376853942871,101.647758483887,101.780960083008,100.492828369141,101.913879394531,101.247627258301,101.638046264648,99.3518142700195
"24",24,101.303573608398,101.274337768555,102.018585205078,102.024635314941,100.416999816895,101.963638305664,101.099304199219,101.450874328613,99.2321472167969
